,id,name,depth,parentCategoryId
61,3274,250 GB,4,3250
62,3277,3000 GB,4,3250
63,3286,Webhosting L,4,3283
64,3289,Webhosting S,4,3283
65,3292,Webhosting XL,4,3283
66,3304,Non XLS,3,3280
67,3307,Add-ons,4,3322
68,3310,ez,4,3304
69,3313,KDISS,4,3304
70,3316,MKE,4,3304
71,3319,Webhosting,4,4925
72,3322,XLS,3,3280
73,3325,Linux,4,3322
74,3328,Windows,4,3322
75,3331,E-mail Add-ons,2,3046
76,3334,Antispam,3,3331
77,3337,Antispam,4,3334
78,3340,MKE Antispam,4,3334
79,3346,Subaccount,3,4934
80,3349,Extra HD space,3,4934
81,3352,PHP/MySQL,3,4934
82,3355,Back-up Online,2,3046
83,3358,License,3,3355
84,3361,VMware licentie,4,3358
85,3370,PC Back-up Online,3,3355
86,3373,Back-ups,4,4826
87,3391,SLA Carefree,3,3388
88,3394,SLA Carefree,4,3391
89,3397,SLA Enhanced,3,3388
90,3400,SLA Enhanced,4,3397
91,3403,Paid colocation,2,3385
92,3409,?,4,4679
93,3415,Extra Rack,3,3403
94,3418,Full Private Rack,3,3403
95,3421,Advanced,4,4670
96,3424,Professional,4,4670
97,3427,Ultimate,4,4670
98,3436,Free colocation,2,3385
99,3439,Employee Colocation,3,3436
100,3445,In-house Cabling,3,3442
101,3448,In-house Cabling,4,3445
102,3460,Add IP range,3,4970
103,3463,Add IP range,4,3460
104,3469,Fiber,4,3466
105,3472,UTP,4,3466
106,3475,Extra IP address,3,4970
107,3478,Extra IP address,4,3475
108,3484,Storage Container,4,4673
109,3490,Extra Power Port,4,3487
110,3493,Powerbar,4,3487
111,3496,Upgrade Extra/Redundant Power Feed,4,3487
112,3499,Upgrade Power,4,3487
113,3508,Upgrade Redundant Power Reservation,4,3487
114,3511,Power,4,4973
115,3517,Extra Switch Port,4,3514
116,3520,Upgrade Bandwidth,3,4970
117,3523,Upgrade Bandwidth,4,3520
118,3526,Upgrade Data Traffic,3,4970
119,3529,Upgrade Data Traffic,4,3526
120,3532,IP Address,3,3457
121,3535,IP Address,4,3532
122,3538,MKE IP,4,3532
123,3541,Rack Space,3,4970
124,3544,Rack Space,4,3541
125,3553,Dedicated Servers,4,3550
126,3556,Datacenter EcoRacks Colocation,4,4676
127,3565,Shared Rack Space,3,3547
128,3568,Shared Rack Space,4,3565
129,3577,?,2,3595
130,3580,Dedicated Server,4,4730
131,3583,Extra memory,4,4661
132,3586,Hard Disk Drive,4,4661
133,3589,Non Existing Colocation,4,4661
134,3592,Redundant connection,4,4661
135,3595,?,1,0
136,3601,Back-up Services,2,4961
137,3604,Back-up Services,3,3601
138,3607,Back-up Services,4,3604
139,3610,Server management,2,3598
140,3613,Human resources,3,4964
141,3616,Human resources,4,3613
142,3619,Service Level,3,4964
143,3622,Service Level,4,3619
144,3625,Services,3,4964
145,3628,Services,4,3625
146,3631,Streaming services,2,4961
147,3634,Traffic,3,3631
148,3637,VPS Server Traffic,4,3634
149,3646,ADSL,3,5003
150,3652,Connectivity Managed Services,3,4612
151,3655,Managed Networking,4,3652
152,3718,Service Level Agreement,4,3652
153,4126,Internet Services Add-ons,4,3730
154,4141,OTT Services,3,5003
155,4165,Software Licenses,3,4612
156,4168,Software Licenses,4,4165
157,4177,Undefined Services,3,4612
158,4180,Undefined Services,4,4177
159,4189,Hardware,2,3640
160,4192,Hardware,4,4673
161,4210,DSL,3,4207
162,4213,DSL Ethernet Virtual Circuit (EVC),4,4210
163,4222,DSL Physical Infrastructure,4,4210
