term,step,estimate,lambda,dev.ratio
sędziego,65,-0.2283813569104402,7.884971014587216e-4,0.9798479368341533
nad,65,-0.7439275003284268,7.884971014587216e-4,0.9798479368341533
na,65,-2.2100989744266313,7.884971014587216e-4,0.9798479368341533
jak,65,-1.4737800098425071,7.884971014587216e-4,0.9798479368341533
tylko,65,-0.5905831913979984,7.884971014587216e-4,0.9798479368341533
bo,65,-0.7456351677216709,7.884971014587216e-4,0.9798479368341533
po,65,-1.2200505755930329,7.884971014587216e-4,0.9798479368341533
co,65,-1.1397654541954179,7.884971014587216e-4,0.9798479368341533
jego,65,-0.34843925625999017,7.884971014587216e-4,0.9798479368341533
z,65,-1.6164843093563606,7.884971014587216e-4,0.9798479368341533
za,65,-1.2279326886091864,7.884971014587216e-4,0.9798479368341533
gdzie,65,-0.2608484745455105,7.884971014587216e-4,0.9798479368341533
lecz,65,-0.9008870224354469,7.884971014587216e-4,0.9798479368341533
od,65,-1.5857525574404874,7.884971014587216e-4,0.9798479368341533
że,65,-1.2260274010880512,7.884971014587216e-4,0.9798479368341533
miał,65,-0.1954778190070015,7.884971014587216e-4,0.9798479368341533
przy,65,-0.4229946902195229,7.884971014587216e-4,0.9798479368341533
pod,65,-0.7049430698429933,7.884971014587216e-4,0.9798479368341533
nakształt,65,-0.12538579234628386,7.884971014587216e-4,0.9798479368341533
przed,65,-0.7143263737806582,7.884971014587216e-4,0.9798479368341533
jako,65,-0.8948615045007159,7.884971014587216e-4,0.9798479368341533
też,65,-0.24327901047189046,7.884971014587216e-4,0.9798479368341533
lubił,65,-1.3230550476066731,7.884971014587216e-4,0.9798479368341533
s,65,-1.3928963101503515,7.884971014587216e-4,0.9798479368341533
tu,65,-0.7086117320450063,7.884971014587216e-4,0.9798479368341533
nawet,65,-0.49691139141528806,7.884971014587216e-4,0.9798479368341533
były,65,-0.07693565762937803,7.884971014587216e-4,0.9798479368341533
tak,65,-0.6651546474343943,7.884971014587216e-4,0.9798479368341533
tuż,65,-0.11692418707314277,7.884971014587216e-4,0.9798479368341533
ale,65,-0.6993982398936041,7.884971014587216e-4,0.9798479368341533
było,65,-0.31391230609515774,7.884971014587216e-4,0.9798479368341533
jeszcze,65,-0.6288279447452406,7.884971014587216e-4,0.9798479368341533
bez,65,-0.15179123550168902,7.884971014587216e-4,0.9798479368341533
była,65,-0.49920301783509946,7.884971014587216e-4,0.9798479368341533
był,65,-0.9916631188242273,7.884971014587216e-4,0.9798479368341533
jéj,65,-0.13212268403029295,7.884971014587216e-4,0.9798479368341533
więc,65,-0.33524664989093456,7.884971014587216e-4,0.9798479368341533
głowę,65,-0.07525618774687787,7.884971014587216e-4,0.9798479368341533
przez,65,-0.6706070530774432,7.884971014587216e-4,0.9798479368341533
twarz,65,-0.10218030862480905,7.884971014587216e-4,0.9798479368341533
gdy,65,-0.5151121976563426,7.884971014587216e-4,0.9798479368341533
już,65,-0.705690093565703,7.884971014587216e-4,0.9798479368341533
mu,65,-0.7758175226426917,7.884971014587216e-4,0.9798479368341533
czy,65,-0.564373982636157,7.884971014587216e-4,0.9798479368341533
sam,65,-0.1568938117706238,7.884971014587216e-4,0.9798479368341533
ze,65,-0.7125631168893791,7.884971014587216e-4,0.9798479368341533
sędzia,65,-0.5896078866816764,7.884971014587216e-4,0.9798479368341533
wojski,65,-0.5167430124164355,7.884971014587216e-4,0.9798479368341533
który,65,-0.3614714430712583,7.884971014587216e-4,0.9798479368341533
będzie,65,-0.4084833448950581,7.884971014587216e-4,0.9798479368341533
ci,65,-0.4629455669075038,7.884971014587216e-4,0.9798479368341533
dla,65,-0.6887098360592644,7.884971014587216e-4,0.9798479368341533
hrabia,65,-0.20871580158959235,7.884971014587216e-4,0.9798479368341533
tam,65,-0.415155206765991,7.884971014587216e-4,0.9798479368341533
całe,65,-0.20948296892137183,7.884971014587216e-4,0.9798479368341533
kiedy,65,-0.1004182372487499,7.884971014587216e-4,0.9798479368341533
ich,65,-0.14545695712427556,7.884971014587216e-4,0.9798479368341533
właśnie,65,-0.20955304793682375,7.884971014587216e-4,0.9798479368341533
podkomorzy,65,-0.30887095623664074,7.884971014587216e-4,0.9798479368341533
nie,65,-1.4049164014333801,7.884971014587216e-4,0.9798479368341533
każdy,65,-0.01562753217739252,7.884971014587216e-4,0.9798479368341533
albo,65,-0.11973393787484035,7.884971014587216e-4,0.9798479368341533
wszystko,65,-0.2898666401498663,7.884971014587216e-4,0.9798479368341533
ku,65,-0.5875339196343444,7.884971014587216e-4,0.9798479368341533
chociaż,65,-0.009960168742200834,7.884971014587216e-4,0.9798479368341533
te,65,-0.23004440542630142,7.884971014587216e-4,0.9798479368341533
nic,65,-0.24495175044020667,7.884971014587216e-4,0.9798479368341533
